nombre,urls
Act 1: Chapter 1: The Game of Gods,https://novel-bin.net/novel-bin/disciple-of-immortal-nov358258486/act-1-chapter-1-the-game-of-gods
Act 1: Chapter 2: Wall of Gluttony,https://novel-bin.net/novel-bin/disciple-of-immortal-nov358258486/act-1-chapter-2-wall-of-gluttony
"Act 1: Chapter 3: Immortal Being, Lunaire",https://novel-bin.net/novel-bin/disciple-of-immortal-nov358258486/act-1-chapter-3-immortal-being-lunaire
Act 1: Chapter 4: Immortal Being Interference,https://novel-bin.net/novel-bin/disciple-of-immortal-nov358258486/act-1-chapter-4-immortal-being-interference
"Act 1: Chapter 5: Empress of Frog, Heqat",https://novel-bin.net/novel-bin/disciple-of-immortal-nov358258486/act-1-chapter-5-empress-of-frog-heqat
Act 1: Chapter 6: Disciple of Lich,https://novel-bin.net/novel-bin/disciple-of-immortal-nov358258486/act-1-chapter-6-disciple-of-lich
Act 1: Chapter 7: 《Sunstone》,https://novel-bin.net/novel-bin/disciple-of-immortal-nov358258486/act-1-chapter-7-sunstone
Act 1: Chapter 8: Lunaire's Base,https://novel-bin.net/novel-bin/disciple-of-immortal-nov358258486/act-1-chapter-8-lunaires-base
Act 1: Chapter 9: 《Akashic Record》,https://novel-bin.net/novel-bin/disciple-of-immortal-nov358258486/act-1-chapter-9-akashic-record
Act 1: Chapter 10: Item,https://novel-bin.net/novel-bin/disciple-of-immortal-nov358258486/act-1-chapter-10-item
Act 1: Chapter 11: Golem Leveling,https://novel-bin.net/novel-bin/disciple-of-immortal-nov358258486/act-1-chapter-11-golem-leveling
Act 1: Chapter 12: Lecture,https://novel-bin.net/novel-bin/disciple-of-immortal-nov358258486/act-1-chapter-12-lecture
Act 1: Chapter 13: Noble Mimic,https://novel-bin.net/novel-bin/disciple-of-immortal-nov358258486/act-1-chapter-13-noble-mimic
Act 1: Chapter 14: Lunaire's Dishes,https://novel-bin.net/novel-bin/disciple-of-immortal-nov358258486/act-1-chapter-14-lunaires-dishes
Act 1: Chapter 15: Graduation Test,https://novel-bin.net/novel-bin/disciple-of-immortal-nov358258486/act-1-chapter-15-graduation-test
Act 1: Chapter 16: The Next Goal,https://novel-bin.net/novel-bin/disciple-of-immortal-nov358258486/act-1-chapter-16-the-next-goal
Act 1: Chapter 17: 《Distorted World of the Cursed Mirror》,https://novel-bin.net/novel-bin/disciple-of-immortal-nov358258486/act-1-chapter-17-distorted-world-of-the-cursed-mirror
Act 1: Chapter 18: Hellish Training,https://novel-bin.net/novel-bin/disciple-of-immortal-nov358258486/act-1-chapter-18-hellish-training
Act 1: Chapter 19: Mirror Leveling,https://novel-bin.net/novel-bin/disciple-of-immortal-nov358258486/act-1-chapter-19-mirror-leveling
Act 1: Chapter 20: Lv 1000,https://novel-bin.net/novel-bin/disciple-of-immortal-nov358258486/act-1-chapter-20-lv-1000
Act 1: Chapter 21: 《Twin Mind Law》,https://novel-bin.net/novel-bin/disciple-of-immortal-nov358258486/act-1-chapter-21-twin-mind-law
Act 1: Chapter 22: Hades's Impurity,https://novel-bin.net/novel-bin/disciple-of-immortal-nov358258486/act-1-chapter-22-hadess-impurity
Act 1: Chapter 23: The End of Leveling,https://novel-bin.net/novel-bin/disciple-of-immortal-nov358258486/act-1-chapter-23-the-end-of-leveling
Act 1: Chapter 24: Graduation,https://novel-bin.net/novel-bin/disciple-of-immortal-nov358258486/act-1-chapter-24-graduation
Act 1: Chapter 25: Immortal Being's Past,https://novel-bin.net/novel-bin/disciple-of-immortal-nov358258486/act-1-chapter-25-immortal-beings-past
Act 1: Chapter 26: Immortal Being's Curse,https://novel-bin.net/novel-bin/disciple-of-immortal-nov358258486/act-1-chapter-26-immortal-beings-curse
Act 1: Chapter 27: Cocytus Capture,https://novel-bin.net/novel-bin/disciple-of-immortal-nov358258486/act-1-chapter-27-cocytus-capture
Act 1: Chapter 28: Cocytus' King,https://novel-bin.net/novel-bin/disciple-of-immortal-nov358258486/act-1-chapter-28-cocytus-king
Act 1: Chapter 29: Cocytus' Exit,https://novel-bin.net/novel-bin/disciple-of-immortal-nov358258486/act-1-chapter-29-cocytus-exit
Act 1: Chapter 30: A Certain Immortal's Slump (Side : Lunaire),https://novel-bin.net/novel-bin/disciple-of-immortal-nov358258486/act-1-chapter-30-a-certain-immortals-slump-side-lunaire
Act 1: Chapter 31: A Certain Immortal's Sorrowful Wails （side: Lunaire）,https://novel-bin.net/novel-bin/disciple-of-immortal-nov358258486/act-1-chapter-31-a-certain-immortals-sorrowful-wails-side-lunaire
Act 1: Chapter 32: 《Demon's Great Forest》,https://novel-bin.net/novel-bin/disciple-of-immortal-nov358258486/act-1-chapter-32-demons-great-forest
Act 1: Chapter 33: 《Black Reaper》,https://novel-bin.net/novel-bin/disciple-of-immortal-nov358258486/act-1-chapter-33-black-reaper
Act 1: Chapter 34: Lovis,https://novel-bin.net/novel-bin/disciple-of-immortal-nov358258486/act-1-chapter-34-lovis
Act 1: Chapter 35: On The Way Toward The City,https://novel-bin.net/novel-bin/disciple-of-immortal-nov358258486/act-1-chapter-35-on-the-way-toward-the-city
