nombre,urls
Chapter 1: depend on each other,https://novel-bin.net/novel-bin/immortal-space-nov-1576172207/ccchapter-1-depend-on-each-other
Chapter 2: battle wolf,https://novel-bin.net/novel-bin/immortal-space-nov-1576172207/ccchapter-2-battle-wolf
Chapter 3: mysterious space,https://novel-bin.net/novel-bin/immortal-space-nov-1576172207/ccchapter-3-mysterious-space
Chapter 4: Qingyang College,https://novel-bin.net/novel-bin/immortal-space-nov-1576172207/ccchapter-4-qingyang-college
Chapter 5: space harvest,https://novel-bin.net/novel-bin/immortal-space-nov-1576172207/ccchapter-5-space-harvest
Chapter 6: enter college,https://novel-bin.net/novel-bin/immortal-space-nov-1576172207/ccchapter-6-enter-college
Chapter 7: study,https://novel-bin.net/novel-bin/immortal-space-nov-1576172207/ccchapter-7-study
Chapter 8: Choose exercises,https://novel-bin.net/novel-bin/immortal-space-nov-1576172207/ccchapter-8-choose-exercises
Chapter 9: Fairy visit,https://novel-bin.net/novel-bin/immortal-space-nov-1576172207/ccchapter-9-fairy-visit
Chapter 10: Wang Yi enters the gate of immortality,https://novel-bin.net/novel-bin/immortal-space-nov-1576172207/ccchapter-10-wang-yi-enters-the-gate-of-immortality
Chapter 11: space food,https://novel-bin.net/novel-bin/immortal-space-nov-1576172207/ccchapter-11-space-food
Chapter 12: Outsmart Masked Man,https://novel-bin.net/novel-bin/immortal-space-nov-1576172207/ccchapter-12-outsmart-masked-man
Chapter 13: brewing,https://novel-bin.net/novel-bin/immortal-space-nov-1576172207/ccchapter-13-brewing
Chapter 14: Bai Yuzhi,https://novel-bin.net/novel-bin/immortal-space-nov-1576172207/ccchapter-14-bai-yuzhi
Chapter 15: Innate realm,https://novel-bin.net/novel-bin/immortal-space-nov-1576172207/ccchapter-15-innate-realm
Chapter 16: edict,https://novel-bin.net/novel-bin/immortal-space-nov-1576172207/ccchapter-16-edict
Chapter 17: Tiger City,https://novel-bin.net/novel-bin/immortal-space-nov-1576172207/ccchapter-17-tiger-city
Chapter 18: battle,https://novel-bin.net/novel-bin/immortal-space-nov-1576172207/ccchapter-18-battle
Chapter 19: healing,https://novel-bin.net/novel-bin/immortal-space-nov-1576172207/ccchapter-19-healing
Chapter 20: Battle of the city (1),https://novel-bin.net/novel-bin/immortal-space-nov-1576172207/ccchapter-20-battle-of-the-city-1
Chapter 21: Siege Battle (2),https://novel-bin.net/novel-bin/immortal-space-nov-1576172207/ccchapter-21-siege-battle-2
Chapter 22: big win,https://novel-bin.net/novel-bin/immortal-space-nov-1576172207/ccchapter-22-big-win
Chapter 23: Green Void City,https://novel-bin.net/novel-bin/immortal-space-nov-1576172207/ccchapter-23-green-void-city
Chapter 24: Liberty Square,https://novel-bin.net/novel-bin/immortal-space-nov-1576172207/ccchapter-24-liberty-square
Chapter 25: Cultivation foundation,https://novel-bin.net/novel-bin/immortal-space-nov-1576172207/ccchapter-25-cultivation-foundation
