nombre,urls
Chapter 1 – Desire to be Transferred in a Different World,https://shmtranslations.com/2017/11/23/chapter-1-desire-to-be-transferred-in-a-different-world/
Chapter 2 – Different World,https://shmtranslations.com/2017/11/28/chapter-2-different-world/
Chapter 3 – All-Purpose Farming Tool,https://shmtranslations.com/2017/12/06/chapter-3-all-purpose-farming-tool/
Chapter 4 – Toilet,https://shmtranslations.com/2017/12/07/chapter-4-toilet/
Chapter 5 – Food Security,https://shmtranslations.com/2017/12/14/chapter-5-food-security/
Chapter 6 – Opportunity and Encounter,https://shmtranslations.com/2017/12/20/chapter-6-opportunity-and-encounter/
Chapter 7 – Dogs,https://shmtranslations.com/2018/01/15/chapter-7-dogs/
Chapter 8 – Life with Dogs,https://shmtranslations.com/2018/01/15/chapter-8-life-with-dogs/
Chapter 9 – Dog’s Names,https://shmtranslations.com/2018/01/15/chapter-9-dogs-names/
Chapter 10 – Dog?,https://shmtranslations.com/2018/01/15/chapter-10-dog/
Chapter 11 – Kuro’s Side,https://shmtranslations.com/2018/04/01/chapter-11-kuros-side/
Chapter 12 – Reconfirmation,https://shmtranslations.com/2018/04/01/chapter-12-reconfirmation/
Chapter 13 – River,https://shmtranslations.com/2018/04/01/chapter-13-river/
Chapter 14 – Waterway Making Begins,https://shmtranslations.com/2018/04/01/chapter-14-waterway-making-begins/
Chapter 15 – Winter preparations and New Resident,https://shmtranslations.com/2018/04/06/chapter-15-winter-preparations-and-new-resident/
Chapter 16 – Zabuton,https://shmtranslations.com/2018/04/16/chapter-16-zabuton/
Chapter 17 – Winter is Coming,https://shmtranslations.com/2018/04/17/chapter-17-winter-is-coming/
Chapter 18 – Spring Has Come,https://shmtranslations.com/2018/06/02/chapter-18-spring-has-come/
Chapter 19 – Kuroichi and the Gang’s Journey,https://shmtranslations.com/2018/06/06/chapter-19-kuroichi-and-the-gangs-journey/
Chapter 20 – Kuroichi and the Gang’s Partners,https://shmtranslations.com/2018/06/09/chapter-20-kuroichi-and-the-gangs-partners/
Chapter 21 – Field Expansion,https://shmtranslations.com/2018/06/10/chapter-21-field-expansion/
Chapter 22 – Winter Preparation and a Naked Girl?,https://shmtranslations.com/2018/06/13/chapter-22-winter-preparation-and-a-naked-girl/
Chapter 23 – Savage?,https://shmtranslations.com/2018/06/16/chapter-23-savage/
Chapter 24 – Loo,https://shmtranslations.com/2018/06/16/chapter-24-loo/
Chapter 25 – Winter was Short and Spring has Come,https://shmtranslations.com/2018/06/17/chapter-25-winter-was-short-and-spring-has-come/
Chapter 26 – Tendon? A Woman with Wings,https://shmtranslations.com/2018/06/30/chapter-26-tendon-a-woman-with-wings/
Chapter 27 – The Number of Residents Increases,https://shmtranslations.com/2018/07/03/chapter-27-the-number-of-residents-increases/
Chapter 28 – High Elf,https://shmtranslations.com/2018/07/16/chapter-28-high-elf/
Chapter 29 – Regarding the Elves,https://shmtranslations.com/2018/07/17/chapter-29-regarding-the-elves/
"Chapter 30 – Engagement with Different World Objects, Reversi and Chess",https://shmtranslations.com/2018/07/18/chapter-30-engagement-with-different-world-objects-reversi-and-chess/
Chapter 31 – The Spring When the Slime Came,https://shmtranslations.com/2018/07/20/chapter-31-the-spring-when-the-slime-came/
Chapter 32 – The Kuro’s Marriage Proposal and Mushrooms,https://shmtranslations.com/2018/07/22/chapter-32-the-kuros-marriage-proposal-and-mushrooms/
Chapter 33 – Completion of the Waterway and New Residents,https://shmtranslations.com/2018/07/24/chapter-33-completion-of-the-waterway-and-new-residents/
Chapter 34 – Bath,https://shmtranslations.com/2018/07/26/chapter-34-bath/
Chapter 35 – My Home,https://shmtranslations.com/2018/07/30/chapter-35-my-home/
Chapter 36 – Construction Rush and the Surrounding Circumstances?,https://shmtranslations.com/2018/07/31/chapter-36-construction-rush-and-the-surrounding-circumstances/
Chapter 37 – Spring When the Wyvern Attacked,https://shmtranslations.com/2018/08/02/chapter-37-spring-when-the-wyvern-attacked/
Chapter 38 – I Want Sake,https://shmtranslations.com/2018/08/04/chapter-38-i-want-sake/
Chapter 39 – Expressing Gratitude to God and Reservoir Improvement,https://shmtranslations.com/2018/08/06/chapter-39-expressing-gratitude-to-god-and-reservoir-improvement/
Chapter 40 – Additional Elves,https://shmtranslations.com/2018/08/08/chapter-40-additional-elves/
"Chapter 41 – Third Bowl of Tendon, Flora, Oni Maids, and Cow",https://shmtranslations.com/2018/08/10/chapter-41-third-bowl-of-tendon-flora-oni-maids-and-cow/
Chapter 42 – Tier Goes Out and Winter Arrives,https://shmtranslations.com/2018/08/12/chapter-42-tier-goes-out-and-winter-arrives/
Chapter 43 – Additional Three Angels with Chickens and Lizardmen,https://shmtranslations.com/2018/08/14/chapter-43-additional-three-angels-with-chickens-and-lizardmen/
Chapter 44 – Wine and Guest(Demon King’s Envoy),https://shmtranslations.com/2018/09/02/chapter-44-wine-and-guestdemon-kings-envoy/
Chapter 45 – Dragon Guest,https://shmtranslations.com/2018/09/03/chapter-45-dragon-guest/
Chapter 46 – Beastkin Guests,https://shmtranslations.com/2018/09/04/chapter-46-beastkin-guests/
Chapter 47 – Howling Village,https://shmtranslations.com/2018/09/05/chapter-47-howling-village/
Chapter 48 – Reaffirming Roles,https://shmtranslations.com/2018/09/06/chapter-48-reaffirming-roles/
Chapter 49 – Reputable Bartering Village,https://shmtranslations.com/2018/09/07/chapter-49-reputable-bartering-village/
Chapter 50 – Meeting While Drinking Wine and New Residents,https://shmtranslations.com/2018/09/08/chapter-50-meeting-while-drinking-wine-and-new-residents/
Chapter 51 – Trading with Beastkin’s Result,https://shmtranslations.com/2018/09/09/chapter-51-trading-with-beastkins-result/
Chapter 52 – Tax Collection,https://shmtranslations.com/2018/09/10/chapter-52-tax-collection/
Chapter 53 – Disturbance in the Forest,https://shmtranslations.com/2018/09/11/chapter-53-disturbance-in-the-forest/
