nombre,urls
"Chapter 1 - My Friend, You Are Dead",https://novel-bin.net/novel-bin/my-dad-is-the-galaxys-prince-charming-nov753022386/chapter-1
Chapter 2 - Where Do You Want to Die?,https://novel-bin.net/novel-bin/my-dad-is-the-galaxys-prince-charming-nov753022386/chapter-2
Chapter 3 - Say Your Last Words,https://novel-bin.net/novel-bin/my-dad-is-the-galaxys-prince-charming-nov753022386/chapter-3
Chapter 4 - An Innocent Bystander,https://novel-bin.net/novel-bin/my-dad-is-the-galaxys-prince-charming-nov753022386/chapter-4
Chapter 5 - Planetary Fission,https://novel-bin.net/novel-bin/my-dad-is-the-galaxys-prince-charming-nov753022386/chapter-5
Chapter 6 - Lady Bloodling,https://novel-bin.net/novel-bin/my-dad-is-the-galaxys-prince-charming-nov753022386/chapter-6
Chapter 7 - An Endangered Species,https://novel-bin.net/novel-bin/my-dad-is-the-galaxys-prince-charming-nov753022386/chapter-7
Chapter 8 - The Baby Isnt Happy,https://novel-bin.net/novel-bin/my-dad-is-the-galaxys-prince-charming-nov753022386/chapter-8
Chapter 9 - The Foodies History of the Galaxy,https://novel-bin.net/novel-bin/my-dad-is-the-galaxys-prince-charming-nov753022386/chapter-9
Chapter 10 - Weakling on the Rise,https://novel-bin.net/novel-bin/my-dad-is-the-galaxys-prince-charming-nov753022386/chapter-10
Chapter 11 - A Different Galaxy,https://novel-bin.net/novel-bin/my-dad-is-the-galaxys-prince-charming-nov753022386/chapter-11
Chapter 12 - The Enlightenment School,https://novel-bin.net/novel-bin/my-dad-is-the-galaxys-prince-charming-nov753022386/chapter-12
Chapter 13 - Attack of the Fatty,https://novel-bin.net/novel-bin/my-dad-is-the-galaxys-prince-charming-nov753022386/chapter-13
Chapter 14 - In Order to Learn,https://novel-bin.net/novel-bin/my-dad-is-the-galaxys-prince-charming-nov753022386/chapter-14
Chapter 15 - Courting Death,https://novel-bin.net/novel-bin/my-dad-is-the-galaxys-prince-charming-nov753022386/chapter-15
Chapter 16 - The Refined Interests of the Ancestor,https://novel-bin.net/novel-bin/my-dad-is-the-galaxys-prince-charming-nov753022386/chapter-16
Chapter 17 - The Hares You Desired,https://novel-bin.net/novel-bin/my-dad-is-the-galaxys-prince-charming-nov753022386/chapter-17
Chapter 18 - What a Scoundrel,https://novel-bin.net/novel-bin/my-dad-is-the-galaxys-prince-charming-nov753022386/chapter-18
Chapter 19 - Ask My Sword,https://novel-bin.net/novel-bin/my-dad-is-the-galaxys-prince-charming-nov753022386/chapter-19
Chapter 20 - The Common Language of the Galaxy,https://novel-bin.net/novel-bin/my-dad-is-the-galaxys-prince-charming-nov753022386/chapter-20
Chapter 21 - The Old Butler,https://novel-bin.net/novel-bin/my-dad-is-the-galaxys-prince-charming-nov753022386/chapter-21
Chapter 22 - The Great Elder has Arrived,https://novel-bin.net/novel-bin/my-dad-is-the-galaxys-prince-charming-nov753022386/chapter-22
Chapter 23 - Let Me Deceive the Ancestor First,https://novel-bin.net/novel-bin/my-dad-is-the-galaxys-prince-charming-nov753022386/chapter-23
Chapter 24 - You Can Go to Eternal Sleep,https://novel-bin.net/novel-bin/my-dad-is-the-galaxys-prince-charming-nov753022386/chapter-24
Chapter 25 - Can I Beat Him Up Again,https://novel-bin.net/novel-bin/my-dad-is-the-galaxys-prince-charming-nov753022386/chapter-25
Chapter 26 - Im Your Great Uncle,https://novel-bin.net/novel-bin/my-dad-is-the-galaxys-prince-charming-nov753022386/chapter-26
Chapter 27 - Strike a Cow from the Other Side of the Mountain,https://novel-bin.net/novel-bin/my-dad-is-the-galaxys-prince-charming-nov753022386/chapter-27
Chapter 28 - Damn Single for Billions of Years,https://novel-bin.net/novel-bin/my-dad-is-the-galaxys-prince-charming-nov753022386/chapter-28
Chapter 29 - Your Majesty Please Come to Your Senses,https://novel-bin.net/novel-bin/my-dad-is-the-galaxys-prince-charming-nov753022386/chapter-29
Chapter 30 - Inter-species Melee,https://novel-bin.net/novel-bin/my-dad-is-the-galaxys-prince-charming-nov753022386/chapter-30
"Chapter 31 - Great God, Please Advise",https://novel-bin.net/novel-bin/my-dad-is-the-galaxys-prince-charming-nov753022386/chapter-31
Chapter 32 - I want to See Your Parents,https://novel-bin.net/novel-bin/my-dad-is-the-galaxys-prince-charming-nov753022386/chapter-32
Chapter 33 - Lets Go and Fly a Kite,https://novel-bin.net/novel-bin/my-dad-is-the-galaxys-prince-charming-nov753022386/chapter-33
Chapter 34 - The Advertising Dogs of the Galaxy,https://novel-bin.net/novel-bin/my-dad-is-the-galaxys-prince-charming-nov753022386/chapter-34
"Chapter 35 - Boss, Pamper Me",https://novel-bin.net/novel-bin/my-dad-is-the-galaxys-prince-charming-nov753022386/chapter-35
Chapter 36 - VIP Customers,https://novel-bin.net/novel-bin/my-dad-is-the-galaxys-prince-charming-nov753022386/chapter-36
Chapter 37 - The Hostage is About to Die,https://novel-bin.net/novel-bin/my-dad-is-the-galaxys-prince-charming-nov753022386/chapter-37
"Chapter 38 - Being Good, Doing Good",https://novel-bin.net/novel-bin/my-dad-is-the-galaxys-prince-charming-nov753022386/chapter-38
Chapter 39 - An Outbreak of Bad Luck,https://novel-bin.net/novel-bin/my-dad-is-the-galaxys-prince-charming-nov753022386/chapter-39
Chapter 40 - One Use Ability,https://novel-bin.net/novel-bin/my-dad-is-the-galaxys-prince-charming-nov753022386/chapter-40
Chapter 41 - Testing the Ability,https://novel-bin.net/novel-bin/my-dad-is-the-galaxys-prince-charming-nov753022386/chapter-41
Chapter 42 - Inverse Ability,https://novel-bin.net/novel-bin/my-dad-is-the-galaxys-prince-charming-nov753022386/chapter-42
Chapter 43 - The Galactic Beast,https://novel-bin.net/novel-bin/my-dad-is-the-galaxys-prince-charming-nov753022386/chapter-43
Chapter 44 - Fan Meeting,https://novel-bin.net/novel-bin/my-dad-is-the-galaxys-prince-charming-nov753022386/chapter-44
Chapter 45 - God Mus Die Hard Fan,https://novel-bin.net/novel-bin/my-dad-is-the-galaxys-prince-charming-nov753022386/chapter-45
Chapter 46 - Goodbye Caterpillar,https://novel-bin.net/novel-bin/my-dad-is-the-galaxys-prince-charming-nov753022386/chapter-46
Chapter 47 - Yo-yo Planet,https://novel-bin.net/novel-bin/my-dad-is-the-galaxys-prince-charming-nov753022386/chapter-47
Chapter 48 - Galactic Academys Entrance Exam,https://novel-bin.net/novel-bin/my-dad-is-the-galaxys-prince-charming-nov753022386/chapter-48
Chapter 49 - Through the Academys Gate,https://novel-bin.net/novel-bin/my-dad-is-the-galaxys-prince-charming-nov753022386/chapter-49
Chapter 50 - Student Union Presidents Election,https://novel-bin.net/novel-bin/my-dad-is-the-galaxys-prince-charming-nov753022386/chapter-50
Chapter 51 - Organized Trouble Causing,https://novel-bin.net/novel-bin/my-dad-is-the-galaxys-prince-charming-nov753022386/chapter-51
Chapter 52 - Galactic Academys Lucky Charm,https://novel-bin.net/novel-bin/my-dad-is-the-galaxys-prince-charming-nov753022386/chapter-52
Chapter 53 - Student Unions First Meeting,https://novel-bin.net/novel-bin/my-dad-is-the-galaxys-prince-charming-nov753022386/chapter-53
Chapter 54 - Nephew Gu Missing,https://novel-bin.net/novel-bin/my-dad-is-the-galaxys-prince-charming-nov753022386/chapter-54
Chapter 55 - On the Enemys Heels,https://novel-bin.net/novel-bin/my-dad-is-the-galaxys-prince-charming-nov753022386/chapter-55
Chapter 56 - Ability Opposite to Mind Reading,https://novel-bin.net/novel-bin/my-dad-is-the-galaxys-prince-charming-nov753022386/chapter-56
Chapter 57 - Plug-in Stopped Working,https://novel-bin.net/novel-bin/my-dad-is-the-galaxys-prince-charming-nov753022386/chapter-57
Chapter 58 - Research Base,https://novel-bin.net/novel-bin/my-dad-is-the-galaxys-prince-charming-nov753022386/chapter-58
Chapter 59 - Intruders Detected,https://novel-bin.net/novel-bin/my-dad-is-the-galaxys-prince-charming-nov753022386/chapter-59
Chapter 60 - The Reason for Research Bases Existence,https://novel-bin.net/novel-bin/my-dad-is-the-galaxys-prince-charming-nov753022386/chapter-60
Chapter 61 - The Controlled Bloodlings,https://novel-bin.net/novel-bin/my-dad-is-the-galaxys-prince-charming-nov753022386/chapter-61
Chapter 62 - Euphoria,https://novel-bin.net/novel-bin/my-dad-is-the-galaxys-prince-charming-nov753022386/chapter-62
Chapter 63 - Bloodline Suppression,https://novel-bin.net/novel-bin/my-dad-is-the-galaxys-prince-charming-nov753022386/chapter-63
Chapter 64 - Formal Declaration of War,https://novel-bin.net/novel-bin/my-dad-is-the-galaxys-prince-charming-nov753022386/chapter-64
Chapter 65 - Human Transport Machine,https://novel-bin.net/novel-bin/my-dad-is-the-galaxys-prince-charming-nov753022386/chapter-65
Chapter 66 - Cold War Within the Household,https://novel-bin.net/novel-bin/my-dad-is-the-galaxys-prince-charming-nov753022386/chapter-66
Chapter 67 - Bad Habits Need to Be Changed,https://novel-bin.net/novel-bin/my-dad-is-the-galaxys-prince-charming-nov753022386/chapter-67
Chapter 68 - Revealed Identity,https://novel-bin.net/novel-bin/my-dad-is-the-galaxys-prince-charming-nov753022386/chapter-68
Chapter 69 - A Low Profile Life,https://novel-bin.net/novel-bin/my-dad-is-the-galaxys-prince-charming-nov753022386/chapter-69
Chapter 70 - The Cub Is Going Solo,https://novel-bin.net/novel-bin/my-dad-is-the-galaxys-prince-charming-nov753022386/chapter-70
Chapter 71 - Flaunting Love is Prohibited,https://novel-bin.net/novel-bin/my-dad-is-the-galaxys-prince-charming-nov753022386/chapter-71
Chapter 72 - Flaunting Love is Prohibited,https://novel-bin.net/novel-bin/my-dad-is-the-galaxys-prince-charming-nov753022386/chapter-72
Chapter 73 - Tourism in the Lands of Celestials,https://novel-bin.net/novel-bin/my-dad-is-the-galaxys-prince-charming-nov753022386/chapter-73
Chapter 74 - Celestials Transportation Methods,https://novel-bin.net/novel-bin/my-dad-is-the-galaxys-prince-charming-nov753022386/chapter-74
Chapter 75 - The Advertising of Celestials,https://novel-bin.net/novel-bin/my-dad-is-the-galaxys-prince-charming-nov753022386/chapter-75
Chapter 76 - The Training Planet,https://novel-bin.net/novel-bin/my-dad-is-the-galaxys-prince-charming-nov753022386/chapter-76
Chapter 77 - Mini Galactic Beast,https://novel-bin.net/novel-bin/my-dad-is-the-galaxys-prince-charming-nov753022386/chapter-77
Chapter 78 - The Map of the Virtuous Planet,https://novel-bin.net/novel-bin/my-dad-is-the-galaxys-prince-charming-nov753022386/chapter-78
Chapter 79 - Flying out of the Shadow Planet,https://novel-bin.net/novel-bin/my-dad-is-the-galaxys-prince-charming-nov753022386/chapter-79
Chapter 80 - Journey to the Service Centre,https://novel-bin.net/novel-bin/my-dad-is-the-galaxys-prince-charming-nov753022386/chapter-80
