nombre,urls
Chapter 1: Scientist Ryu Young-Joon (1),https://novel-bin.net/novel-bin/super-genius-dna-nov38572280/chapter-1-scientist-ryu-young-joon-1
Chapter 2: Scientist Ryu Young-Joon (2),https://novel-bin.net/novel-bin/super-genius-dna-nov38572280/chapter-2-scientist-ryu-young-joon-2
Chapter 3: Scientist Ryu Young-Joon (3),https://novel-bin.net/novel-bin/super-genius-dna-nov38572280/chapter-3-scientist-ryu-young-joon-3
Chapter 4: Scientist Ryu Young-Joon (4),https://novel-bin.net/novel-bin/super-genius-dna-nov38572280/chapter-4-scientist-ryu-young-joon-4
Chapter 5: Scientist Ryu Young-Joon (5),https://novel-bin.net/novel-bin/super-genius-dna-nov38572280/chapter-5-scientist-ryu-young-joon-5
Chapter 6: Induced Pluripotent Stem Cells (1),https://novel-bin.net/novel-bin/super-genius-dna-nov38572280/chapter-6-induced-pluripotent-stem-cells-1
Chapter 7: Induced Pluripotent Stem Cells (2),https://novel-bin.net/novel-bin/super-genius-dna-nov38572280/chapter-7-induced-pluripotent-stem-cells-2
Chapter 8: Induced Pluripotent Stem Cells (3),https://novel-bin.net/novel-bin/super-genius-dna-nov38572280/chapter-8-induced-pluripotent-stem-cells-3
Chapter 9: Treating the Flu (1),https://novel-bin.net/novel-bin/super-genius-dna-nov38572280/chapter-9-treating-the-flu-1
Chapter 10: Treating the Flu (2),https://novel-bin.net/novel-bin/super-genius-dna-nov38572280/chapter-10-treating-the-flu-2
Chapter 11: Treating the Flu (3),https://novel-bin.net/novel-bin/super-genius-dna-nov38572280/chapter-11-treating-the-flu-3
Chapter 12: Treating the Flu (4),https://novel-bin.net/novel-bin/super-genius-dna-nov38572280/chapter-12-treating-the-flu-4
Chapter 13: Treating the Flu (5),https://novel-bin.net/novel-bin/super-genius-dna-nov38572280/chapter-13-treating-the-flu-5
Chapter 14: Year-end Seminar (1),https://novel-bin.net/novel-bin/super-genius-dna-nov38572280/chapter-14-year-end-seminar-1
Chapter 15: Year-End Seminar (2),https://novel-bin.net/novel-bin/super-genius-dna-nov38572280/chapter-15-year-end-seminar-2
Chapter 16: Year-End Seminar (3),https://novel-bin.net/novel-bin/super-genius-dna-nov38572280/chapter-16-year-end-seminar-3
Chapter 17: Year-End Seminar (4),https://novel-bin.net/novel-bin/super-genius-dna-nov38572280/chapter-17-year-end-seminar-4
Chapter 18: Year-End Seminar (5),https://novel-bin.net/novel-bin/super-genius-dna-nov38572280/chapter-18-year-end-seminar-5
Chapter 19: Year-End Seminar (6),https://novel-bin.net/novel-bin/super-genius-dna-nov38572280/chapter-19-year-end-seminar-6
Chapter 20: The Ambitious One (1),https://novel-bin.net/novel-bin/super-genius-dna-nov38572280/chapter-20-the-ambitious-one-1
Chapter 21: The Ambitious One (2),https://novel-bin.net/novel-bin/super-genius-dna-nov38572280/chapter-21-the-ambitious-one-2
Chapter 22: The Ambitious One (3),https://novel-bin.net/novel-bin/super-genius-dna-nov38572280/chapter-22-the-ambitious-one-3
Chapter 23: The First Author (1),https://novel-bin.net/novel-bin/super-genius-dna-nov38572280/chapter-23-the-first-author-1
Chapter 24: The First Author (2),https://novel-bin.net/novel-bin/super-genius-dna-nov38572280/chapter-24-the-first-author-2
Chapter 25: The First Author (3),https://novel-bin.net/novel-bin/super-genius-dna-nov38572280/chapter-25-the-first-author-3
Chapter 26: The First Author (4),https://novel-bin.net/novel-bin/super-genius-dna-nov38572280/chapter-26-the-first-author-4
Chapter 27: A Supernova In the Scientific Community (1),https://novel-bin.net/novel-bin/super-genius-dna-nov38572280/chapter-27-a-supernova-in-the-scientific-community-1
Chapter 28: A Supernova In the Scientific Community (2),https://novel-bin.net/novel-bin/super-genius-dna-nov38572280/chapter-28-a-supernova-in-the-scientific-community-2
Chapter 29: A Supernova In the Scientific Community (3),https://novel-bin.net/novel-bin/super-genius-dna-nov38572280/chapter-29-a-supernova-in-the-scientific-community-3
Chapter 30: A Supernova In the Scientific Community (4),https://novel-bin.net/novel-bin/super-genius-dna-nov38572280/chapter-30-a-supernova-in-the-scientific-community-4
