"nombre";"url"
"To Be A Virtuous Wife";"https://boxnovel.com/novel/to-be-a-virtuous-wife/"
"God of Crime";"https://boxnovel.com/novel/god-of-crime/"
"K SIDEBLUE";"https://boxnovel.com/novel/k-sideblue/"
"Alluring Poisonous Consort Overwhelms the Demonic King";"https://boxnovel.com/novel/alluring-poisonous-consort-overwhelms-the-demonic-king/"
"Tsuujou Kougeki ga Zentai Kougeki de Nikai Kougeki no Okaasan wa Suki desu ka";"https://boxnovel.com/novel/tsuujou-kougeki-ga-zentai-kougeki-de-ni-kai-kougeki-no-okaa-san-wa-suki-desu-ka/"
"Awakening";"https://boxnovel.com/novel/awakening/"
"Global Game AFK In The Zombie Apocalypse Game";"https://boxnovel.com/novel/global-game-afk-in-the-zombie-apocalypse-game/"
"Alchemy Emperor of the Divine Dao";"https://boxnovel.com/novel/alchemy-emperor-of-the-divine-dao/"
"Cultivation When you take things to the extreme";"https://boxnovel.com/novel/cultivation-when-you-take-things-to-the-extreme/"
"The Spirited Daughterinlaw and the Mountain Man";"https://boxnovel.com/novel/the-spirited-daughter-in-law-and-the-mountain-man/"
"The Supreme Martial King Shocking All Realms";"https://boxnovel.com/novel/the-supreme-martial-king-shocking-all-realms/"
"Everyone Is A Lord My Talent Is A Little Too Strong";"https://boxnovel.com/novel/everyone-is-a-lord-my-talent-is-a-little-too-strong/"
"Reborn into Young Master Huos Little Fairy";"https://boxnovel.com/novel/reborn-into-young-master-huos-little-fairy/"
"The Sims I Open the Immortal Path for All Beings";"https://boxnovel.com/novel/the-sims-i-open-the-immortal-path-for-all-beings/"
"Lingering Doting Marriage Big Boss Little Sweet Heart";"https://boxnovel.com/novel/lingering-doting-marriage-big-boss-little-sweet-heart/"
"To achieve immortality I cultivate using Qi Luck";"https://boxnovel.com/novel/to-achieve-immortality-i-cultivate-using-qi-luck/"
"I Dont Want To Reincarnate";"https://boxnovel.com/novel/i-dont-want-to-reincarnate/"
"Supreme Tamer";"https://boxnovel.com/novel/supreme-tamer/"
"Building a Gaming Empire From Scratch";"https://boxnovel.com/novel/building-a-gaming-empire-from-scratch/"
"He Clings to Me Every Night";"https://boxnovel.com/novel/he-clings-to-me-every-night/"
"Claiming My Possessive CEO Husband";"https://boxnovel.com/novel/claiming-my-possessive-ceo-husband/"
