"nombre";"url"
"I Am the Heiress of the Villain Family";"https://www.fortuneeternal.com/novel/i-am-the-heiress-of-the-villain-family-raw-novel/"
"My Ruined Academy Life";"https://www.fortuneeternal.com/novel/my-ruined-academy-life-raw-novel/"
"Dukes Eldest Son Is A Regressed Hero";"https://www.fortuneeternal.com/novel/dukes-eldest-son-is-a-regressed-hero-raw-novel/"
"IronBlooded Tycoon";"https://www.fortuneeternal.com/novel/iron-blooded-tycoon-raw-novel/"
"The genius writer of the moon village";"https://www.fortuneeternal.com/novel/the-genius-writer-of-the-moon-village-raw-novel/"
"Im Michelangelo in my previous life";"https://www.fortuneeternal.com/novel/im-michelangelo-in-my-previous-life-raw-novel/"
"NIS Agent Reincarnated as a Genius Actor";"https://www.fortuneeternal.com/novel/nis-agent-reincarnated-as-a-genius-actor-raw-novel/"
"The Extra Prince begins his conquest of the world";"https://www.fortuneeternal.com/novel/the-extra-prince-begins-his-conquest-of-the-world-raw-novel/"
"Save a Failed Idols Life";"https://www.fortuneeternal.com/novel/save-a-failed-idols-life-raw-novel/"
"Return of the Genius Photographer";"https://www.fortuneeternal.com/novel/return-of-the-genius-photographer-raw-novel/"
"Eating the World Tree";"https://www.fortuneeternal.com/novel/eating-the-world-tree-raw-novel/"
"Sandmancer of the Scorched Desert";"https://www.fortuneeternal.com/novel/sandmancer-of-the-scorched-desert-raw-novel/"
"Healing at the Academy Convenience Store";"https://www.fortuneeternal.com/novel/healing-at-the-academy-convenience-store-raw-novel/"
"Vampire Star";"https://www.fortuneeternal.com/novel/vampire-star-raw-novel/"
"For Older Brother I Will Seduce the Male Lead";"https://www.fortuneeternal.com/novel/for-older-brother-i-will-seduce-the-male-lead-raw-novel/"
"Standing in the Spotlight since Birth";"https://www.fortuneeternal.com/novel/standing-in-the-spotlight-since-birth-raw-novel/"
"Joseon military officer establishes Balhae";"https://www.fortuneeternal.com/novel/joseon-military-officer-establishes-balhae-raw-novel/"
"Demon and Dragon Slayer Swordsman";"https://www.fortuneeternal.com/novel/demon-and-dragon-slayer-swordsman-raw-novel/"
"Im the MaxLevel Newbie";"https://www.fortuneeternal.com/novel/im-the-max-level-newbie-raw-novel/"
