"nombre";"url"
"Praise the Orc";"https://novel-bin.net/novel-bin/praise-the-orc-other-nov-1600245413"
"The Rough Hunter's Little Lucky Wife";"https://novel-bin.net/novel-bin/the-rough-hunters-little-lucky-wife-nov866705384"
"Reborn Missy An Adorable Wife";"https://novel-bin.net/novel-bin/reborn-missy-an-adorable-wife-nov-1936857628"
"Cultivation! My Augmented Statuses Have Unlimited Duration";"https://novel-bin.net/novel-bin/cultivation-my-augmented-statuses-have-unlimited-duration-nov-1808078052"
"You Are My Starlight";"https://novel-bin.net/novel-bin/you-are-my-starlight-nov-195723441"
"Bigshot Gets Loved By All After Transmigrating Into A Book";"https://novel-bin.net/novel-bin/bigshot-gets-loved-by-all-after-transmigrating-into-a-book-nov5503893"
"Gate of Revelation";"https://novel-bin.net/novel-bin/gate-of-revelation-nov176907652"
"Rebirth of the Supreme Celestial Being";"https://novel-bin.net/novel-bin/rebirth-of-the-supreme-celestial-being-nov-164925334"
"The Sword and The Shadow";"https://novel-bin.net/novel-bin/the-sword-and-the-shadow-nov1573720003"
"Runaway Guide";"https://novel-bin.net/novel-bin/runaway-guide-nov-444757747"
"Dungeon Defense";"https://novel-bin.net/novel-bin/dungeon-defense-nov-1551974830"
"The Yu Brother's Case Book";"https://novel-bin.net/novel-bin/the-yu-brothers-case-book-nov867209446"
"Omae wo Onii-chan ni Shite Yarouka!?";"https://novel-bin.net/novel-bin/omae-wo-onii-chan-ni-shite-yarouka-nov641700776"
"Shinrei Tantei Yakumo";"https://novel-bin.net/novel-bin/shinrei-tantei-yakumo-nov-1470621570"
"My Hero";"https://novel-bin.net/novel-bin/my-hero-nov-155108576"
"The Promise Sealed with Our Lips";"https://novel-bin.net/novel-bin/the-promise-sealed-with-our-lips-nov1172530698"
"½ Prince";"https://novel-bin.net/novel-bin/half-prince-nov295150024"
"Goddess Medical Doctor";"https://novel-bin.net/novel-bin/goddess-medical-doctor-nov-1594762704"
"Sundering Nature";"https://novel-bin.net/novel-bin/sundering-nature-nov1688186780"
