"nombre";"url"
"Ankoku Kishi Monogatari ~Yuusha wo Taosu Tameni Maou ni Shoukansaremashita~";"https://novel-bin.net/novel-bin/ankoku-kishi-monogatari-yuusha-wo-taosu-tameni-maou-ni-shoukansaremashita-nov952392185"
"When Immortal Ascension Fails Time Travel to Try Again";"https://novel-bin.net/novel-bin/when-immortal-ascension-fails-time-travel-to-try-again-nov570615153"
"RE: Monarch";"https://novel-bin.net/novel-bin/re-monarch-nov1385021613"
"Molting the Mortal Coil";"https://novel-bin.net/novel-bin/molting-the-mortal-coil-nov2140989121"
"I Became a Villain’s Hero";"https://novel-bin.net/novel-bin/i-became-a-villains-hero-nov1033786448"
"Shrouded Seascape";"https://novel-bin.net/novel-bin/shrouded-seascape-nov780215337"
"The Beginning After The End";"https://novel-bin.net/novel-bin/the-beginning-after-the-end-nov1972848551"
"The Fox of France";"https://novel-bin.net/novel-bin/the-fox-of-france-nov-697669732"
"Reborn as a Demonic Tree";"https://novel-bin.net/novel-bin/reborn-as-a-demonic-tree-nov-1790188959"
"Heaven, Earth, Me";"https://novel-bin.net/novel-bin/heaven-earth-me-nov1859824018"
"HP: The Arcane Thief";"https://novel-bin.net/novel-bin/hp-the-arcane-thief-nov-75251083"
"Star Odyssey";"https://novel-bin.net/novel-bin/star-odyssey-nov-290669054"
"Elder Cultivator";"https://novel-bin.net/novel-bin/elder-cultivator-nov-895020923"
"Deep Sea Embers";"https://novel-bin.net/novel-bin/deep-sea-embers-nov799338704"
"Supremacy Games";"https://novel-bin.net/novel-bin/supremacy-games-nov-1783155548"
"Paradise of Infinity";"https://novel-bin.net/novel-bin/paradise-of-infinity-nov1825721069"
"Kill the Sun";"https://novel-bin.net/novel-bin/kill-the-sun-nov-1850254170"
"Advent of the Three Calamities";"https://novel-bin.net/novel-bin/advent-of-the-three-calamities-nov1864049699"
"Naruto: The Wind Calamity";"https://novel-bin.net/novel-bin/naruto-the-wind-calamity-nov342494278"
"The Tyrant Empress is Obsessed with Me";"https://novel-bin.net/novel-bin/the-tyrant-empress-is-obsessed-with-me-nov733985749"
