"nombre";"url"
"Reincarnation Of The Strongest Sword God";"https://novel-bin.net/novel-bin/reincarnation-of-the-strongest-sword-god-nov1727518347"
"Super Gene";"https://novel-bin.net/novel-bin/super-gene-nov1728123084"
"Nine Star Hegemon Body Arts";"https://novel-bin.net/novel-bin/nine-star-hegemon-body-arts-nov745662692"
"Martial God Asura";"https://novel-bin.net/novel-bin/martial-god-asura-novel-nov-90456602"
"My Vampire System";"https://novel-bin.net/novel-bin/my-vampire-system-nov-1050389580"
"Invincible";"https://novel-bin.net/novel-bin/invincible-novel-nov928349555"
"Almighty Daughter Runs The World";"https://novel-bin.net/novel-bin/almighty-daughter-runs-the-world-nov-221097573"
"The Mech Touch";"https://novel-bin.net/novel-bin/the-mech-touch-nov-1294139408"
"Blood Warlock: Succubus Partner In The Apocalypse";"https://novel-bin.net/novel-bin/blood-warlock-succubus-partner-in-the-apocalypse-novel-nov-1239046281"
"Emperor's Domination";"https://novel-bin.net/novel-bin/emperors-domination-nov1762445829"
"Dimensional Descent";"https://novel-bin.net/novel-bin/dimensional-descent-nov-1237091997"
"Lord of the Mysteries";"https://novel-bin.net/novel-bin/lord-of-the-mysteries-nov-654393400"
"Reincarnated With The Strongest System";"https://novel-bin.net/novel-bin/reincarnated-with-the-strongest-system-nov-723770996"
"Overgeared";"https://novel-bin.net/novel-bin/overgeared-novel-nov-1877728746"
"Alchemy Emperor of the Divine Dao";"https://novel-bin.net/novel-bin/alchemy-emperor-of-the-divine-dao-nov-1484257814"
"Reverend Insanity";"https://novel-bin.net/novel-bin/reverend-insanity-nov-691180134"
"Unrivaled Medicine God";"https://novel-bin.net/novel-bin/unrivaled-medicine-god-nov165670539"
"God-tier Farm";"https://novel-bin.net/novel-bin/god-tier-farm-nov1415223317"
"Astral Pet Store";"https://novel-bin.net/novel-bin/astral-pet-store-nov1677223654"
"Battle Through the Heavens";"https://novel-bin.net/novel-bin/battle-through-the-heavens-novel-nov-886258157"
"Top Tier Providence, Secretly Cultivate for a Thousand Years";"https://novel-bin.net/novel-bin/top-tier-providence-secretly-cultivate-for-a-thousand-years-nov1045257635"
"I'm Secretly Married to a Big Shot";"https://novel-bin.net/novel-bin/im-secretly-married-to-a-big-shot-nov108871146"
"Martial World";"https://novel-bin.net/novel-bin/martial-world-novel-nov871189527"
"Birth of the Demonic Sword";"https://novel-bin.net/novel-bin/birth-of-the-demonic-sword-nov-948473322"
"Let Me Game in Peace";"https://novel-bin.net/novel-bin/let-me-game-in-peace-nov892686243"
"Legend of Swordsman";"https://novel-bin.net/novel-bin/legend-of-swordsman-nov-1821702349"
"God Rank Upgrade System";"https://novel-bin.net/novel-bin/god-rank-upgrade-system-nov635065045"
"A Record of a Mortal's Journey to Immortality";"https://novel-bin.net/novel-bin/a-record-of-a-mortals-journey-to-immortality-novel-nov1430120069"
"Global Killing: Awakening SSS-level Talent at the Beginning";"https://novel-bin.net/novel-bin/global-killing-awakening-sss-level-talent-at-the-beginning-nov-861525181"
"Swallowed Star";"https://novel-bin.net/novel-bin/swallowed-star-nov527418208"
"Versatile Mage";"https://novel-bin.net/novel-bin/versatile-mage-nov1268221445"
"The Sovereign's Ascension";"https://novel-bin.net/novel-bin/the-sovereigns-ascension-nov-733449180"
"The Legendary Mechanic";"https://novel-bin.net/novel-bin/the-legendary-mechanic-nov905638935"
"World Defying Dan God";"https://novel-bin.net/novel-bin/world-defying-dan-god-nov-873950229"
